AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
OTHER,OTHER,0,0,0,0,0,0,20190415
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,83,40,109236.7,520,291,453504.4,20190416
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,20190416
NON-AGENCY CMBS,P&I,211,138,712999.5,43,25,175837.5,20190416
NON-AGENCY CMBS,IO/PO,8,6,212621.7,*,*,*,20190416
AGENCY CMBS,P&I,77,36,517791.6,77,35,516777.9,20190416
AGENCY CMBS,IO/PO,0,0,0,8,5,485356.9,20190416
AGENCY CMBS,ABS,503,339,1181049.9,81,49,284911.2,20190416
CBO/CDO/CLO,CBO/CDO/CLO,114,61,547780.8,45,29,114453.9,20190416
OTHER,OTHER,*,*,*,*,*,*,20190416
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,58,32,172807.8,360,153,648648.9,20190417
NON-AGENCY CMO,IO/PO,0,0,0,14,4,7593.4,20190417
NON-AGENCY CMBS,P&I,178,127,675093.8,51,31,196464.5,20190417
NON-AGENCY CMBS,IO/PO,6,3,319626,*,*,*,20190417
AGENCY CMBS,P&I,51,34,297025.5,84,40,761969.7,20190417
AGENCY CMBS,IO/PO,0,0,0,7,5,210180.1,20190417
AGENCY CMBS,ABS,399,291,749498.9,44,37,140522.8,20190417
CBO/CDO/CLO,CBO/CDO/CLO,99,74,608139.6,37,25,129143.7,20190417
OTHER,OTHER,0,0,0,0,0,0,20190417
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,32,16,37939.6,122,69,37646.9,20190418
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,20190418
NON-AGENCY CMBS,P&I,92,67,269761.8,27,14,89707.1,20190418
NON-AGENCY CMBS,IO/PO,6,2,35100,*,*,*,20190418
AGENCY CMBS,P&I,42,27,49765.3,72,34,242418.8,20190418
AGENCY CMBS,IO/PO,0,0,0,5,4,1498277.7,20190418
AGENCY CMBS,ABS,192,153,455580.3,26,18,67848.2,20190418
